model,Scenario,Region,Variable,Unit,1,2000,2004,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2060,2070,2080,2090,2100
Global Gas Model,EU11,Germany,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Germany,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Germany,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Germany,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Germany,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Greece,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Greece,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Greece,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Greece,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Greece,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Hungary,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Hungary,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Hungary,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Hungary,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Hungary,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Ireland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Ireland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Ireland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Ireland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Ireland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Italy,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Italy,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Italy,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Italy,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Italy,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Latvia,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Latvia,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Latvia,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Latvia,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Latvia,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Lithuania,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Lithuania,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Lithuania,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Lithuania,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Lithuania,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Luxembourg,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Luxembourg,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Luxembourg,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Luxembourg,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Luxembourg,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Netherlands,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Netherlands,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Netherlands,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Netherlands,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Netherlands,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Norway,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Norway,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Norway,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Norway,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Norway,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Poland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Poland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Poland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Poland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Poland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Portugal,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Portugal,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Portugal,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Portugal,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Portugal,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,ROW,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,ROW,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,ROW,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,ROW,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,ROW,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Romania,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Romania,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Romania,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Romania,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Romania,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Russia,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Russia,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Russia,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Russia,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Russia,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Slovakia,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Slovakia,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Slovakia,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Slovakia,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Slovakia,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Slovenia,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Slovenia,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Slovenia,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Slovenia,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Slovenia,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Spain,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Spain,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Spain,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Spain,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Spain,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Sweden,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Sweden,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Sweden,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Sweden,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Sweden,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Switzerland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Switzerland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Switzerland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Switzerland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,Switzerland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,UK,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,UK,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,UK,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,UK,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU11,UK,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Austria,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Austria,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Austria,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Austria,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Austria,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Belgium,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Belgium,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Belgium,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Belgium,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Belgium,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Bulgaria,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Bulgaria,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Bulgaria,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Bulgaria,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Bulgaria,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Czech Republic,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Czech Republic,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Czech Republic,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Czech Republic,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Czech Republic,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Denmark,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Denmark,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Denmark,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Denmark,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Denmark,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU12,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU12,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU12,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU12,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU12,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU15,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU15,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU15,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU15,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU15,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU27,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU27,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU27,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU27,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,EU27,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Estonia,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Estonia,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Estonia,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Estonia,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Estonia,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Finland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Finland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Finland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Finland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Finland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,France,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,France,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,France,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,France,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,France,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Germany,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Germany,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Germany,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Germany,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Germany,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Greece,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Greece,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Greece,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Greece,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Greece,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Hungary,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Hungary,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Hungary,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Hungary,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Hungary,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Ireland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Ireland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Ireland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Ireland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Ireland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Italy,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Italy,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Italy,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Italy,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Italy,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Latvia,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Latvia,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Latvia,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Latvia,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Latvia,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Lithuania,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Lithuania,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Lithuania,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Lithuania,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Lithuania,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Luxembourg,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Luxembourg,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Luxembourg,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Luxembourg,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Luxembourg,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Netherlands,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Netherlands,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Netherlands,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Netherlands,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Netherlands,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Norway,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Norway,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Norway,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Norway,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Norway,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Poland,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Poland,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Poland,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Poland,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Poland,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Portugal,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Portugal,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Portugal,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Portugal,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Portugal,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,ROW,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,ROW,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,ROW,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,ROW,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,ROW,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Romania,Emissions|CO2,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Romania,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Romania,Emissions|CO2|Fossil Fuels and industry|Energy Demand|Industry,Mt CO2/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Romania,Final Energy|Industry,EJ/yr,,,,,,,,,,,,,,,,,,
Global Gas Model,EU4,Romania,Value Added|Industry,billion €2010/yr,,,,,,,,,,,,,,,,,,
